pert_iname,cell_iname,norm_cs,bioactivity_class,SMILE
idebenone,MDAMB231,1.6,active,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
trifluridine,MDAMB231,1.6,active,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
brivudine,MDAMB231,1.58,active,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O
terbinafine,MDAMB231,1.57,active,CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21
palovarotene,MDAMB231,1.57,active,CC1(CCC(C2=C1C=C(C(=C2)/C=C/C3=CC=C(C=C3)C(=O)O)CN4C=CC=N4)(C)C)C
enzastaurin,MDAMB231,1.56,active,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7
fusidic-acid,MDAMB231,1.55,active,C[C@H]1[C@@H]2CC[C@]3([C@H]([C@]2(CC[C@H]1O)C)[C@@H](C[C@@H]\4[C@@]3(C[C@@H](/C4=C(/CCC=C(C)C)\C(=O)O)OC(=O)C)C)O)C
mericitabine,MDAMB231,1.55,active,CC(C)C(=O)OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=NC2=O)N)(C)F)OC(=O)C(C)C
motesanib,MDAMB231,1.55,active,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
zonisamide,MDAMB231,1.55,active,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
tivantinib,MDAMB231,1.55,active,C1CC2=C3C(=CC=C2)C(=CN3C1)[C@H]4[C@@H](C(=O)NC4=O)C5=CNC6=CC=CC=C65
fenoterol,MDAMB231,1.53,active,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
FPL-62064,MDAMB231,1.5,active,COC1=CC=C(C=C1)NC2=NN(C=C2)C3=CC=CC=C3
AMG-487,MDAMB231,1.49,Inconclusive,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2[C@@H](C)N(CC4=CN=CC=C4)C(=O)CC5=CC=C(C=C5)OC(F)(F)F
penciclovir,MDAMB231,1.49,Inconclusive,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N
mifobate,MDAMB231,1.49,Inconclusive,COP(=O)(C(C1=CC=C(C=C1)Cl)OP(=O)(OC)OC)OC
volasertib,MDAMB231,1.48,Inconclusive,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C
lapatinib,MDAMB231,1.47,Inconclusive,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
PLX-4720,MDAMB231,1.45,Inconclusive,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F
balaglitazone,MDAMB231,1.43,Inconclusive,CN1C(=NC2=CC=CC=C2C1=O)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4
torcetrapib,MDAMB231,1.42,Inconclusive,CC[C@@H]1C[C@@H](C2=C(N1C(=O)OCC)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(=O)OC
erythromycin-ethylsuccinate,MDAMB231,1.42,Inconclusive,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)OC(=O)CCC(=O)OCC)(C)O)C)C)O)(C)O
SB-743921,MDAMB231,1.42,Inconclusive,CC1=CC=C(C=C1)C(=O)N(CCCN)[C@@H](C2=C(C(=O)C3=C(O2)C=C(C=C3)Cl)CC4=CC=CC=C4)C(C)C
rivaroxaban,MDAMB231,1.41,Inconclusive,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl
HMN-214,MDAMB231,1.41,Inconclusive,CC(=O)N(C1=CC=CC=C1/C=C/C2=CC=[N+](C=C2)[O-])S(=O)(=O)C3=CC=C(C=C3)OC
pioglitazone,MDAMB231,1.41,Inconclusive,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
dapagliflozin,MDAMB231,1.41,Inconclusive,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl
cladribine,MDAMB231,1.4,Inconclusive,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
almorexant,MDAMB231,1.4,Inconclusive,CNC(=O)[C@@H](C1=CC=CC=C1)N2CCC3=CC(=C(C=C3[C@@H]2CCC4=CC=C(C=C4)C(F)(F)F)OC)OC
amonafide,MDAMB231,1.4,Inconclusive,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N
niguldipine,MDAMB231,1.39,Inconclusive,CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC
GSK-923295,MDAMB231,1.39,Inconclusive,C[C@@H](C1=CC=CN2C1=NC(=C2)C3=CC=C(C=C3)C[C@@H](CNC(=O)CN(C)C)NC(=O)C4=CC(=C(C=C4)OC(C)C)Cl)O
BI-2536,MDAMB231,1.39,Inconclusive,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
TTNPB,MDAMB231,1.39,Inconclusive,C/C(=C\C1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)C(CCC3(C)C)(C)C
cinoxacin,MDAMB231,1.38,Inconclusive,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
CX-4945,MDAMB231,1.38,Inconclusive,C1=CC(=CC(=C1)Cl)NC2=NC3=C(C=CC(=C3)C(=O)O)C4=C2C=CN=C4
lidocaine,MDAMB231,1.37,Inconclusive,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
pentamidine,MDAMB231,1.36,Inconclusive,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
ABT-202,MDAMB231,1.35,Inconclusive,C1CN(C[C@@H]1N)C2=CN=CC=C2
navitoclax,MDAMB231,1.35,Inconclusive,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
acexamic-acid,MDAMB231,1.35,Inconclusive,CC(=O)NCCCCCC(=O)O
trametinib,MDAMB231,1.35,Inconclusive,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5
bosentan,MDAMB231,1.34,Inconclusive,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
dazoxiben,MDAMB231,1.33,Inconclusive,C1=CC(=CC=C1C(=O)O)OCCN2C=CN=C2
nepafenac,MDAMB231,1.32,Inconclusive,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)N
metoprolol,MDAMB231,1.31,Inconclusive,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
tasquinimod,MDAMB231,1.31,Inconclusive,CN1C2=C(C(=CC=C2)OC)C(=C(C1=O)C(=O)N(C)C3=CC=C(C=C3)C(F)(F)F)O
clofoctol,MDAMB231,1.31,Inconclusive,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl
umeclidinium,MDAMB231,1.3,Inconclusive,C1C[N+]2(CCC1(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CCOCC5=CC=CC=C5
FR-180204,MDAMB231,1.3,Inconclusive,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N
linezolid,MDAMB231,1.29,Inconclusive,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F
anandamide,MDAMB231,1.29,Inconclusive,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
mozavaptan,MDAMB231,1.29,Inconclusive,CC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)N3CCCC(C4=CC=CC=C43)N(C)C
alisertib,MDAMB231,1.28,Inconclusive,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
raclopride,MDAMB231,1.28,Inconclusive,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O
mepyramine,MDAMB231,1.28,Inconclusive,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2
hymecromone,MDAMB231,1.28,Inconclusive,CC1=CC(=O)OC2=C1C=CC(=C2)O
NMS-1286937,MDAMB231,1.27,Inconclusive,CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)CCO
fluconazole,MDAMB231,1.27,Inconclusive,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
paclitaxel,MDAMB231,1.27,Inconclusive,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
flavoxate,MDAMB231,1.26,Inconclusive,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
deferiprone,MDAMB231,1.26,Inconclusive,CC1=C(C(=O)C=CN1C)O
ketorolac,MDAMB231,1.26,Inconclusive,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
desmopressin-acetate,MDAMB231,1.26,Inconclusive,C1C[C@H](N(C1)C(=O)[C@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)N
naftidrofuryl,MDAMB231,1.25,Inconclusive,CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32
milrinone,MDAMB231,1.25,Inconclusive,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
stavudine,MDAMB231,1.24,Inconclusive,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO
Y-26763,MDAMB231,1.24,Inconclusive,CC(=O)N([C@H]1[C@@H](C(OC2=C1C=C(C=C2)C#N)(C)C)O)O
adapalene,MDAMB231,1.24,Inconclusive,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
mefloquine,MDAMB231,1.23,Inconclusive,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
LY-215490,MDAMB231,1.23,Inconclusive,C1C[C@@H]2CN[C@H](C[C@@H]2C[C@@H]1CCC3=NNN=N3)C(=O)O
etofylline-clofibrate,MDAMB231,1.23,Inconclusive,CC(C)(C(=O)OCCN1C=NC2=C1C(=O)N(C(=O)N2C)C)OC3=CC=C(C=C3)Cl
hydroxyurea,MDAMB231,1.23,Inconclusive,C(=O)(N)NO
efaproxiral,MDAMB231,1.22,Inconclusive,CC1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)OC(C)(C)C(=O)O)C
TAK-715,MDAMB231,1.22,Inconclusive,CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC=CC(=C4)C
pentoxifylline,MDAMB231,1.22,Inconclusive,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
olmesartan-medoxomil,MDAMB231,1.21,Inconclusive,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O
nalbuphine,MDAMB231,1.21,Inconclusive,C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O
olaparib,MDAMB231,1.21,Inconclusive,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
mepivacaine,MDAMB231,1.21,Inconclusive,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
pasireotide,MDAMB231,1.21,Inconclusive,C1[C@H](CN2[C@@H]1C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN
MK-0773,MDAMB231,1.2,Inconclusive,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NCC4=NC5=C(N4)C=CC=N5)CC[C@@H]6[C@@]3(C=C(C(=O)N6C)F)C
carglumic-acid,MDAMB231,1.2,Inconclusive,C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N
kakonein,MDAMB231,1.2,Inconclusive,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
S-18986,MDAMB231,1.2,Inconclusive,C1C[C@@H]2NS(=O)(=O)C3=CC=CC=C3N2C1
vardenafil,MDAMB231,1.2,Inconclusive,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
gemcitabine,MDAMB231,1.2,Inconclusive,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F
bretazenil,MDAMB231,1.19,Inconclusive,CC(C)(C)OC(=O)C1=C2[C@@H]3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br
gaboxadol,MDAMB231,1.19,Inconclusive,C1CNCC2=C1C(=O)NO2
triptorelin,MDAMB231,1.19,Inconclusive,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)[C@@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@@H]8CCC(=O)N8
NF-449,MDAMB231,1.19,Inconclusive,C1=CC(=C(C=C1S(=O)(=O)O)S(=O)(=O)O)NC(=O)C2=CC(=CC(=C2)NC(=O)NC3=CC(=CC(=C3)C(=O)NC4=C(C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O)C(=O)NC5=C(C=C(C=C5)S(=O)(=O)O)S(=O)(=O)O)C(=O)NC6=C(C=C(C=C6)S(=O)(=O)O)S(=O)(=O)O
SN-38,MDAMB231,1.19,Inconclusive,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O
cimetidine,MDAMB231,1.18,Inconclusive,CC1=C(N=CN1)CSCCNC(=NC)NC#N
zosuquidar,MDAMB231,1.18,Inconclusive,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47
ICI-192605,MDAMB231,1.18,Inconclusive,C1[C@@H]([C@@H](O[C@@H](O1)C2=CC=CC=C2Cl)C3=CC=CC=C3O)C/C=C\CCC(=O)O
ibrutinib,MDAMB231,1.17,Inconclusive,C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N
asenapine,MDAMB231,1.16,Inconclusive,CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
allopurinol,MDAMB231,1.16,Inconclusive,C1=NNC2=C1C(=O)NC=N2
afloqualone,MDAMB231,1.15,Inconclusive,CC1=CC=CC=C1N2C(=NC3=C(C2=O)C=C(C=C3)N)CF
TPCA-1,MDAMB231,1.15,Inconclusive,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F
norgestrel,MDAMB231,1.15,Inconclusive,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
buspirone,MDAMB231,1.15,Inconclusive,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
mitoxantrone,MDAMB231,1.15,Inconclusive,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
atipamezole,MDAMB231,1.14,Inconclusive,CCC1(CC2=CC=CC=C2C1)C3=CN=CN3
furosemide,MDAMB231,1.14,Inconclusive,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
KIN001-266,MDAMB231,1.14,Inconclusive,CCN1CCC(CC1)N2C=C(N=N2)CNC3=CC4=C(C(=CN=C4C(=C3)Cl)C#N)NC5=CC(=C(C=C5)F)Cl
MLN-4924,MDAMB231,1.14,Inconclusive,C1CC2=CC=CC=C2[C@H]1NC3=C4C=CN(C4=NC=N3)[C@@H]5C[C@H]([C@H](C5)O)COS(=O)(=O)N
progesterone,MDAMB231,1.14,Inconclusive,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
nicotine,MDAMB231,1.13,Inconclusive,CN1CCC[C@H]1C2=CN=CC=C2
gliclazide,MDAMB231,1.13,Inconclusive,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
droperidol,MDAMB231,1.13,Inconclusive,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
diazoxide,MDAMB231,1.13,Inconclusive,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
tirasemtiv,MDAMB231,1.13,Inconclusive,CCC(CC)N1C2=NC(=CN=C2NC1=O)C#C
MGCD-265,MDAMB231,1.13,Inconclusive,CN1C=C(N=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=S)NC(=O)CC5=CC=CC=C5)F
quinapril,MDAMB231,1.12,Inconclusive,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O
etanidazole,MDAMB231,1.12,Inconclusive,C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCCO
fludarabine-phosphate,MDAMB231,1.12,Inconclusive,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)F)N
moclobemide,MDAMB231,1.12,Inconclusive,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
fluvoxamine,MDAMB231,1.12,Inconclusive,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F
etacrynic-acid,MDAMB231,1.12,Inconclusive,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
zofenopril-calcium,MDAMB231,1.11,Inconclusive,C[C@H](CSC(=O)C1=CC=CC=C1)C(=O)N2C[C@H](C[C@H]2C(=O)O)SC3=CC=CC=C3
leflunomide,MDAMB231,1.11,Inconclusive,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
mitomycin-c,MDAMB231,1.1,Inconclusive,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N
edoxudine,MDAMB231,1.1,Inconclusive,CCC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
vinpocetine,MDAMB231,1.1,Inconclusive,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
linopirdine,MDAMB231,1.1,Inconclusive,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5
voglibose,MDAMB231,1.09,Inconclusive,C1[C@@H]([C@@H]([C@H]([C@@H]([C@]1(CO)O)O)O)O)NC(CO)CO
sorafenib,MDAMB231,1.09,Inconclusive,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
celecoxib,MDAMB231,1.08,Inconclusive,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
berberine,MDAMB231,1.08,Inconclusive,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
PF-04217903,MDAMB231,1.08,Inconclusive,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1
daunorubicin,MDAMB231,1.08,Inconclusive,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
preladenant,MDAMB231,1.07,Inconclusive,COCCOC1=CC=C(C=C1)N2CCN(CC2)CCN3C4=C(C=N3)C5=NC(=NN5C(=N4)N)C6=CC=CO6
letermovir,MDAMB231,1.07,Inconclusive,COC1=C(C=C(C=C1)C(F)(F)F)N2[C@H](C3=C(C(=CC=C3)F)N=C2N4CCN(CC4)C5=CC(=CC=C5)OC)CC(=O)O
dasatinib,MDAMB231,1.07,Inconclusive,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
ribavirin,MDAMB231,1.06,Inconclusive,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N
LY-2334737,MDAMB231,1.06,Inconclusive,CCCC(CCC)C(=O)NC1=NC(=O)N(C=C1)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F
metamizole,MDAMB231,1.06,Inconclusive,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O
dofequidar,MDAMB231,1.06,Inconclusive,C1CN(CCN1CC(COC2=CC=CC3=C2C=CC=N3)O)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5
losmapimod,MDAMB231,1.06,Inconclusive,CC1=C(C=C(C=C1F)C(=O)NC2CC2)C3=NC=C(C=C3)C(=O)NCC(C)(C)C
RS-127445,MDAMB231,1.06,Inconclusive,CC(C)C1=NC(=NC(=C1)C2=CC=C(C3=CC=CC=C32)F)N
milnacipran,MDAMB231,1.06,Inconclusive,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2
etoposide,MDAMB231,1.06,Inconclusive,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
propentofylline,MDAMB231,1.05,Inconclusive,CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C
niacin,MDAMB231,1.05,Inconclusive,C1=CC(=CN=C1)C(=O)O
vinburnine,MDAMB231,1.04,Inconclusive,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2
tobramycin,MDAMB231,1.04,Inconclusive,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N
